diseases_CUI,Name
C0003969,Ascorbic Acid Deficiency
C1623040,Breastfeeding (mother)
C0020630,Hypophosphatasia
C0020621,Hypokalemia
C0013264,"Muscular Dystrophy, Duchenne"
C0007138,"Carcinoma, Transitional Cell"
C4303663,Extensive stage primary small cell carcinoma of lung
C0278987,Metastatic non-small cell lung cancer
C0020474,"Hyperlipidemia, Familial Combined"
C0020479,Hyperlipoproteinemia Type III
C0342881,Homozygous Familial Hypercholesterolemia
C3495559,Juvenile arthritis
C0238198,Gastrointestinal Stromal Tumors
C0007129,Merkel cell carcinoma
C0034186,Pyelonephritis
C0007134,Renal Cell Carcinoma
C0035854,Rosacea
C2733595,Pulmonary Mycobacterium avium complex infection
C1278807,Chlamydial urethritis
C0007947,Chancroid
C0009768,Bacterial conjunctivitis
C1261256,Pelvic inflammatory disease caused by Metamycoplasma hominis
C0032290,Aspiration Pneumonia
C0031154,Peritonitis
C0014179,Endometritis
C0010032,Corneal Abrasions
C0854211,Bacterial keratitis
C0005743,Blepharoconjunctivitis
C0729587,Infective blepharitis
C1562430,Muscle spasticity of spinal origin
C0238217,Renal transplant rejection
C0600142,Hot flushes
C0406526,Neuropathic ulcer of foot due to diabetes mellitus
C0079774,Peripheral T-Cell Lymphoma
C0007131,Non-Small Cell Lung Carcinoma
C0543822,Atherosclerotic occlusive disease
C0024301,"Lymphoma, Follicular"
C0271638,Type 2 diabetes mellitus in obese
C0233523,Antisocial behavior
C1527407,Eosinophilic Pneumonia
C0849907,Itching of ear
C1320547,Allergic otitis externa
C0014733,Erysipelas
C0036285,Scarlet Fever
C0038395,Streptococcal Infections
C0040252,Tinea corporis (disorder)
C0040259,Tinea Pedis
C0220994,Hyperammonemia (disorder)
C0396072,Laryngeal papillomatosis
C0343532,Streptococcal toxic shock syndrome
C0006057,Botulism
C0153216,Gonococcal joint infection
C0039131,"Syphilis, Congenital"
C0027927,Neurosyphilis
C0149985,"Syphilis, secondary"
C0030636,Pasteurella Infections
C1260911,Infection by Pasteurella multocida
C0001263,Abdominal actinomycosis
C0153240,Latent yaws
C0039614,Tetanus
C1276801,Infection due to Erysipelothrix rhusiopathiae (disorder)
C0003177,Cutaneous anthrax
C1260915,Late latent syphilis
C0348868,Listerial endocarditis
C0034686,Rat-Bite Fever
C0154639,Streptococcal meningitis
C0039133,"Syphilis, Latent"
C0275566,Pulmonary actinomycosis
C0041912,Upper Respiratory Infections
C0152946,Anthrax sepsis
C0031946,Pinta
C0004945,Bejel
C0264515,"Pneumonia, Necrotizing"
C0001264,Cervicofacial actinomycosis
C0024110,Lung Abscess
C0153188,"Syphilis, tertiary"
C0017418,Primary genital syphilis
C0275842,"Early latent syphilis, positive serology, negative cerebrospinal fluid, less than 2 years after infection"
C1318559,Fusospirochetal pharyngitis
C0343500,Gas gangrene caused by clostridium perfringens
C0025293,"Meningitis, Listeria"
C0152945,Gastrointestinal anthrax
C0343833,Tertiary lesion of yaws
C0155866,Inhalational anthrax
C0025306,Meningococcal Septicemia
C0019880,Homocystinuria
C0600041,Infective cystitis
C0010692,Cystitis
C0345468,Transplanted organ rejection
C0006114,Cerebral Edema
C0036830,Serum Sickness
C0019829,Hodgkin Disease
C0006444,Bursitis
C0014742,Erythema Multiforme
C0405580,Adrenal cortical hypofunction
C0154301,Acquired thrombocytopenia
C0149911,Humoral hypercalcemia of malignancy (disorder)
C0039503,Tendinitis
C0011606,Exfoliative dermatitis
C0039103,Synovitis
C0023052,Laryngeal Edema
C0026948,Mycosis Fungoides
C0242459,Simple Pulmonary Eosinophilia
C0014488,Epicondylitis
C0040896,Trichinellosis
C0023449,Acute lymphocytic leukemia
C0151467,Addisonian crisis
C0041321,"Tuberculosis, Miliary"
C0036271,Scalp Dermatoses
C0001403,Addison Disease
C1384589,Tinea cruris
C0035439,Rheumatic Heart Disease
C1260899,"Anemia, Diamond-Blackfan"
C1761609,Aspiration pneumonitis
C2894027,Post traumatic osteoarthritis
C0005138,Berylliosis
C0701163,Adrenogenital disorder
C0026857,Musculoskeletal Diseases
C0040147,Thyroiditis
C0024305,"Lymphoma, Non-Hodgkin"
C0039520,Tenosynovitis
C0080274,Urinary Retention
C1960639,At increased risk of venous thromboembolus
C0346974,Metastatic malignant neoplasm to colon
C2585890,Nonsquamous nonsmall cell neoplasm of lung
C1621958,Glioblastoma Multiforme
C0302592,Cervix carcinoma
C0153467,Malignant tumor of peritoneum
C0346161,Malignant epithelial tumor of ovary
C0153579,Malignant neoplasm of fallopian tube
C4722085,Malignant neoplasm of colon and/or rectum
C0155213,Hypertrichosis of eyelid
C2937225,Biotin deficiency disease
C0426639,Incomplete passage of stool
C0009806,Constipation
C0011991,Diarrhea
C0347950,Asthma attack
C0007847,Malignant tumor of cervix
C0079744,Diffuse Large B-Cell Lymphoma
C0278996,Malignant Head and Neck Neoplasm
C0153601,Malignant neoplasm of penis
C1272826,FIGO stage finding for vulvar carcinoma
C0349636,Pre B-cell acute lymphoblastic leukemia
C0005699,Blast Phase
C0020594,Hypoactive Sexual Desire Disorder
C1275317,Anaplastic large T-cell systemic malignant lymphoma
C0221074,"Depression, Postpartum"
C1269683,Major Depressive Disorder
C0026603,Motion Sickness
C1960764,Crohn's disease in remission
C2215257,"Postoperative Pain, Acute"
C0278140,Severe pain
C0028043,Nicotine Dependence
C0085159,Seasonal Affective Disorder
C3536984,"Vitamin D-Resistant Rickets, X-Linked"
C0005697,Neurogenic Urinary Bladder
C0403643,Error: 404
C0085606,Urgency of micturition
C0150045,Urge Incontinence
C0033893,Tension Headache
C0040262,Tinea Versicolor
C0474368,Labor Pain
C0238462,Medullary carcinoma of thyroid
C0042376,Vascular Headaches
C0026838,Muscle Spasticity
C0013390,Dysmenorrhea
C0232058,Apnea in newborn
C1531702,Acute lymphoblastic leukemia - category
C0020598,Hypocalcemia
C0085682,Hypophosphatemia
C1704431,Disorder of electrolytes
C0151714,Hypermagnesemia
C0020461,Hyperkalemia
C0151940,Hypocalcemic tetany
C0342938,Pantothenic acid deficiency
C0677659,Gastro-esophageal reflux disease with esophagitis
C0342731,Deficiency of mevalonate kinase
C1275126,TNF receptor-associated periodic fever syndrome (TRAPS)
C0006852,Candidiasis of vagina
C0024623,Malignant neoplasm of stomach
C0027796,Neuralgia
C0003469,Anxiety Disorders
C1997351,Left ventricular cardiac dysfunction
C0494475,Tonic-Clonic Seizures
C2711653,Epilepsy characterized by intractable complex partial seizures
C0234974,Simple Partial Seizures
C0154731,Glossopharyngeal Neuralgia
C0014549,Tonic-Clonic Epilepsy
C0021092,Impacted cerumen
C0033581,prostatitis
C0151970,Ulcer of esophagus
C0042135,Uterine Inertia
C0032797,Postpartum Hemorrhage
C0156543,Unspecified Abortion
C2349261,Relapse multiple myeloma
C0007102,Malignant tumor of colon
C0153633,Malignant neoplasm of brain
C0026764,Multiple Myeloma
C0349543,Brain Glioblastoma
C2584877,Error: 404
C0040425,Tonsillitis
C1997728,Osteomyelitis caused by Staphylococcus aureus
C0029076,Ophthalmia Neonatorum
C1692886,"Arthritis, Bacterial"
C1096562,Peptostreptococcus infection
C0243001,Abdominal Abscess
C0349734,Female pelvic cellulitis
C0276064,Sepsis caused by Bacteroides
C0155804,Acute maxillary sinusitis
C0276085,Ecthyma gangrenosum
C0153225,Gonococcal meningitis
C0025289,Meningitis
C0153227,Gonococcal endocarditis
C0021099,Impetigo
C0024198,Lyme Disease
C0007137,Squamous cell carcinoma
C0339296,Neurotrophic keratitis
C0022340,Late-Infantile Neuronal Ceroid Lipofuscinosis
C0585362,Squamous cell carcinoma of mouth
C3163899,Squamous cell carcinoma of nose
C1319317,Squamous cell carcinoma of pharynx
C0280324,Laryngeal Squamous Cell Carcinoma
C0008350,Cholelithiasis
C0035585,Rickettsia Infections
C0006060,Boutonneuse Fever
C0162627,"Skin Diseases, Bacterial"
C0036117,Salmonella infections
C0001957,Alcohol Withdrawal Delirium
C0017574,Gingivitis
C0025323,Menorrhagia
C0024536,Quartan malaria
C0152072,Ovale malaria
C0745138,Hypertensive Urgency
C0027498,Nausea and vomiting
C0162565,Acute intermittent porphyria
C0012734,Disruptive Behavior Disorder
C0005424,Biliary Tract Diseases
C0342826,Error: 404
C0342827,Error: 404
C0238052,"Xanthomatosis, Cerebrotendinous"
C0473527,Hypoalphalipoproteinemias
C0015967,Fever
C0242362,Error: 404
C0013238,Dry Eye Syndromes
C0022575,Keratoconjunctivitis Sicca
C0043515,Zollinger-Ellison syndrome
C0221013,"Mastocytosis, Systemic"
C0027662,Multiple Endocrine Neoplasia
C0042571,Vertigo
C0027497,Nausea
C0021355,Infective otitis externa
C0275550,Acute bacterial peritonitis
C0395818,Malignant otitis externa caused by Pseudomonas aeruginosa
C0013369,Dysentery
C0158371,Acute osteomyelitis
C0275982,Enteric campylobacteriosis
C0014356,Enterocolitis
C0854328,Infection caused by anaerobic bacteria
C0152967,Septicemia due to anaerobes
C0014013,"Empyema, Pleural"
C3875321,Inflammatory dermatosis
C0085656,Nummular eczema
C0013595,Eczema
C0850149,Dry cough
C1563054,Dapsone resistant leprosy
C1562585,"Leprosy, Multibacillary"
C0021361,Female infertility
C0270846,Atonic seizure
C0014550,Myoclonic Epilepsy
C1263846,Attention deficit hyperactivity disorder
C1303258,Acute ST segment elevation myocardial infarction (disorder)
C0542269,Non-Q wave myocardial infarction
C0007780,Cerebral Embolism
C0040038,Thromboembolism
C0003125,Anorexia Nervosa
C0042847,Vitamin B 12 Deficiency
C0268108,Chronic gouty arthritis
C1510471,Vitamin Deficiency
C0029442,Osteomalacia
C0410065,"Dupuytren's disease of finger, with contracture"
C2733598,Disorder of lumbar disc
C0398775,Hereditary C1 esterase inhibitor deficiency - deficient factor
C1384606,Dyspareunia
C0581392,Exacerbation of multiple sclerosis
C0038325,Stevens-Johnson Syndrome
C0423234,Punctate keratopathy
C1275687,Herpes zoster keratitis
C0033246,Proctitis
C0019112,Hemorrhoids
C0010043,Corneal Ulcer
C0022073,Iridocyclitis
C2937222,Chronic ulcerative proctitis
C0022081,Iritis
C0010543,Cyclitis
C4708695,Vaso-occlusive pain episode in sickle cell disease
C0267436,Non-infective diarrhea
C0009769,"Conjunctivitis, Giant Papillary"
C0009773,"Conjunctivitis, Vernal"
C0022577,"Keratoconjunctivitis, Vernal"
C0151482,Megaloblastic anemia due to folate deficiency
C0235238,Cycloplegia
C0026961,Mydriasis
C0027819,Neuroblastoma
C0035335,Retinoblastoma
C0237963,Poisoning caused by acetaminophen
C1704231,Metastatic Malignant Neoplasm to the Leptomeninges
C0023487,Acute Promyelocytic Leukemia
C1135868,Gestational Trophoblastic Neoplasms
C0027708,Nephroblastoma
C0035412,Rhabdomyosarcoma
C0553580,Ewings sarcoma
C0153594,Malignant neoplasm of testis
C0038166,Staphylococcal Skin Infections
C0016034,Breast Fibrocystic Disease
C1960924,Right-sided Staphylococcus aureus endocarditis
C0472713,Anemia of renal disease
C4708167,Anemia due to and following chemotherapy
C1328504,Hormone refractory prostate cancer
C0023474,"Leukemia, Myeloid, Chronic-Phase"
C0023465,Acute monocytic leukemia
C0023440,Acute Erythroblastic Leukemia
C0036220,Kaposi Sarcoma
C0412842,Poisoning by iron AND/OR its compounds
C0264115,Drug-induced osteoporosis
C0424620,Excess subcutaneous fat
C0149526,Allergic urticaria
C0032617,Polyuria
C0022548,Keloid
C0349790,Exacerbation of asthma
C0259799,Punctate keratitis
C0042165,Anterior uveitis
C0006413,Burkitt Lymphoma
C0339293,Corneal Perforation
C0236830,Neuroleptic-induced parkinsonism
C0152020,Gastroparesis
C0030446,Paralytic Ileus
C0263283,Contact dermatitis caused by urushiol from Pacific poison oak
C1444173,Arthropod bite wound
C2316460,Pseudobulbar affect
C0021670,insulinoma
C0027773,Nesidioblastosis
C0158266,Intervertebral Disc Degeneration
C0040185,Tibial Fractures
C0043037,Verrucous Lesion
C0040053,Thrombosis
C0156393,Atrophy of vulva
C0221392,Atrophic Vaginitis
C0013882,Elephantiasis
C0023968,Loiasis
C0274726,Poisoning caused by Digitalis glycoside
C0497327,Dementia
C0039621,Tetany
C0042963,Vomiting
C0311375,Arsenic Poisoning
C0261486,Accidental poisoning by lead and its compounds and fumes
C0282488,Interstitial Cystitis
C0549315,"Hydatidiform mole, benign"
C0000810,Incomplete spontaneous abortion
C0151907,Discoloration of skin
C0006266,Bronchospasm
C1273489,Asthma night-time symptoms
C4038730,Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome
C0241705,Difficulty passing urine
C0149523,Acute cystitis
C0036980,"Shock, Cardiogenic"
C0678222,Breast Carcinoma
C0600177,Low Cardiac Output Syndrome
C1632842,Complicated appendicitis
C0008325,Cholecystitis
C0235063,Respiratory Depression
C0005587,"Depression, Bipolar"
C0270458,Severe major depression with psychotic features
C1306632,Primary malignant neoplasm of gastrointestinal tract
C3163805,Malignant epithelial neoplasm of female breast
C0585442,Osteosarcoma of bone
C0276535,AIDS with Kaposi's sarcoma
C0242379,Malignant neoplasm of lung
C0007115,Malignant neoplasm of thyroid
C0041472,Endemic Flea-Borne Typhus
C0008354,Cholera
C0041351,Tularemia
C1112709,non-gonococcal urethritis (NGU)
C0340354,Q fever endocarditis
C0006181,Brill-Zinsser Disease
C0023860,Listeriosis
C0041473,"Typhus, Epidemic Louse-Borne"
C0153193,Acute gonococcal epididymo-orchitis
C0004771,Bartonella Infections
C0008149,Chlamydia Infections
C0520676,Premenstrual Dysphoric Disorder
C0006142,Malignant neoplasm of breast
C0038437,Female stress incontinence
C0740447,Diabetic peripheral neuropathy
C0023434,Chronic Lymphocytic Leukemia
C0855095,Small Lymphocytic Lymphoma
C0019243,"Angioedemas, Hereditary"
C0271093,Stargardt's disease
C0014877,Esotropia
C2919522,Congenital hemolytic uremic syndrome
C0013922,Embolism
C1274470,Onychomycosis of toenails
C0276755,Onychomycosis caused by Trichophyton mentagrophytes
C0272230,SCID (severe combined immunodeficiency) due to absent adenosine deaminase
C0017205,Gaucher Disease
C0401149,Chronic constipation
C0086651,"Mucopolysaccharidosis, MPS-IV-A"
C0272293,Chronic idiopathic thrombocytopenic purpura
C0272199,Familial Hemophagocytic Lymphocytosis
C3698411,Asymptomatic left ventricular systolic dysfunction
C4288754,Metastatic urothelial carcinoma
C4302554,Reactive oxygen species 1 positive non-small cell lung cancer
C5192106,Solid neoplasm with neurotrophic receptor tyrosine kinase gene fusion
C0011882,Diabetic Neuropathies
C0037763,Spasm
C0013404,Dyspnea
C0043144,Wheezing
C1561828,Anemia in chronic kidney disease
C1998329,Anemia due to chemotherapy
C0040015,Thrombasthenia
C0015503,Factor VII Deficiency
C0016665,"Fractures, Ununited"
C0023827,liposarcoma
C0281361,Adenocarcinoma of pancreas
C0269398,Miscarriage with sepsis
C0009770,Inclusion conjunctivitis
C0014752,Erythrasma
C0019147,Hepatic Coma
C3661921,Perioperative hypertension
C0520577,Urethral atrophy
C0271578,Female hypogonadism syndrome
C0033578,Prostatic Neoplasms
C0029396,Heterotopic Ossification
C0149925,Small cell carcinoma of lung
C0241961,Angiomyolipoma of kidney
C0041341,Tuberous Sclerosis
C0342907,Sitosterolemia
C0917798,Cerebral Ischemia
C4304383,Influenza caused by pandemic influenza virus
C0026987,Myelofibrosis
C0024588,Malignant essential hypertension
C0158996,Anemia of prematurity
C0006434,Burn injury
C0043250,Traumatic Wound
C0034886,Rectal pain
C0014358,"Enterocolitis, Pseudomembranous"
C1827687,Chemotherapy induced neutropenia
C0340970,Congenital neutropenia
C0221023,Cyclic neutropenia
C2267231,Chronic idiopathic neutropenia
C0149948,Acute otitis externa
C0241310,Suprapubic pain
C0013428,Dysuria
C0741292,Paroxysmal atrial flutter
C0184567,Acute onset pain
C0345904,Malignant neoplasm of liver
C0006848,Mucocutaneous candidiasis
C0153252,Systemic candidiasis
C0008526,Choroiditis
C0862889,Superficial basal cell carcinoma
C2267227,Bulimia Nervosa
C0030319,Panic Disorder
C0028326,Noonan Syndrome
C0151721,Testicular hypogonadism
C0010417,Cryptorchidism
C0342527,Deficiency of testosterone biosynthesis
C0034012,Delayed Puberty
C2936781,Generalized Myotonia of Thomsen
C0155880,Intrinsic asthma
C0031572,"Phobia, Social"
C0687148,Mineral deficiency
C0016412,Folic Acid Deficiency
C0261439,Accidental poisoning by methyl alcohol
C0524702,Pulmonary Thromboembolisms
C0155919,Acute pulmonary edema
C0016867,Furunculosis
C0022573,Keratoconjunctivitis
C0032269,Pneumococcal Infections
C0010930,Dacryocystitis
C0549398,Meibomianitis
C0038160,Staphylococcal Infections
C0030578,Paronychia (disorder)
C0016436,Folliculitis
C0036472,Scrub Typhus
C0026709,Mucopolysaccharidosis VI
C0022570,"Keratitis, Dendritic"
C0729772,Infective laryngitis
C0031157,Peritonsillar Abscess
C0162533,"Porphyrias, Hepatic"
C0005683,Urinary bladder stone (disorder)
C0036992,Short Bowel Syndrome
C0154246,"Urea Cycle Disorders, Inborn"
C0002453,Amenorrhea
C2349994,Tinea barbae
C0040517,Gilles de la Tourette syndrome
C0564750,Peripheral arterial embolism
C0000880,Acanthamoeba Keratitis
C0238425,Hemoglobin SS disease with crisis
C0025202,melanoma
C0085610,Sinus bradycardia
C0024419,Waldenstrom Macroglobulinemia
C0867389,Chronic graft-versus-host disease
C0272373,Drug-induced coagulation inhibitor disorder
C0917796,"Optic Atrophy, Hereditary, Leber"
C0026705,Mucopolysaccharidosis II
C0346421,Chronic eosinophilic leukemia
C0392784,Dermatofibrosarcoma Protuberans
C0206141,Idiopathic Hypereosinophilic Syndrome
C0270327,Bedwetting
C0262399,shoulder bursitis
C0030783,Pellagra
C0206247,Amyloid Neuropathies
C0023443,Hairy Cell Leukemia
C0346976,Metastatic malignant neoplasm to pancreas
C0026718,Mucormycosis
C0004245,Atrioventricular Block
C0020683,Hypovolemic Shock
C0034734,Raynaud Disease
C0085695,Chronic gastritis
C1274469,onychomycosis of fingernail
C0276758,Fusariosis
C0008582,Chromoblastomycosis
C0030409,Paracoccidioidomycosis
C0267509,Chronic idiopathic constipation
C0022951,Lactose Intolerance
C0080203,Tachyarrhythmia
C0001207,Hypersomatotropic gigantism
C1960398,HER2-positive carcinoma of breast
C0023786,Mucopolysaccharidosis I
C1288351,Malignant Neoplasm (Morphology)
C4040491,Bronchopneumonia caused by Haemophilus influenzae
C0023241,Legionnaires' Disease
C4510691,Pneumonia caused by Chlamydia pneumoniae
C0206682,Follicular thyroid carcinoma
C0238463,Papillary thyroid carcinoma
C0002888,"Anemia, Megaloblastic"
C0003950,Ascariasis
C0002831,Ancylostomiasis
C1142132,Carnitine deficiency
C0027145,Myxedema
C0018021,Goiter
C0033038,Premature Ejaculation
C0030759,Infestation by Phthirus pubis
C0041976,Urethritis
C0030757,Pediculus capitis infestation
C0040021,Thromboangiitis Obliterans
C1868889,Irritable bowel syndrome characterized by constipation
C0018022,Endemic goiter
C0238298,Myxedema coma
C0596170,Binge eating disorder
C0005586,Bipolar Disorder
C0029104,Opioid withdrawal
C0006118,Brain Neoplasms
C0277528,Traveler's diarrhea
C0085697,Chronic pyelonephritis
C0153027,Herpes zoster keratoconjunctivitis
C0406486,Ocular Rosacea
C1275684,Meibomian gland dysfunction
C0206754,Neuroendocrine Tumors
C0151723,Hypomagnesemia
C0156677,Eclampsia in pregnancy
C0269658,Mild pre-eclampsia
C0341950,Severe pre-eclampsia
C0152081,Pustular psoriasis
C0234133,Extrapyramidal sign
C0086227,Enterobiasis
C0040954,Infection by Trichuris trichiura
C0271568,Laron Syndrome
C0032463,Polycythemia Vera
C0023473,Error: 404
C0153685,Metastatic malignant neoplasm to kidney
C0025874,Metrorrhagia
C0476089,Endometrial Carcinoma
C0232940,Secondary physiologic amenorrhea
C0276587,Nutritional deficiency with AIDS (acquired immunodeficiency syndrome)
C0021603,Sleep Initiation and Maintenance Disorders
C0022354,"Jaundice, Obstructive"
C0019088,Hemorrhagic Disease of Newborn
C0234978,Primary motor cortex frontal lobe epilepsy
C0278139,Moderate pain
C2931187,Nephropathic cystinosis
C3697010,Ulcerative colitis in remission
C0267390,Chronic ulcerative rectosigmoiditis
C0152516,Bacterial enteritis
C0042900,Vitiligo
C3874358,Therapeutic opioid induced constipation
C0233485,apprehension
C0233494,Tension
C0035457,"Rhinitis, Allergic, Perennial"
C0031511,Pheochromocytoma
C0267176,Gastroparesis due to diabetes mellitus
C0221032,Familial generalized lipodystrophy
C0271693,Acquired generalized lipodystrophy
C0220989,Acquired partial lipodystrophy
C0152499,Acute amebiasis
C0023885,Liver Abscess
C0041343,Tubo-ovarian abscess
C0006105,Brain Abscess
C0085631,Agitation
C1112486,Aggressive Systemic Mastocytosis
C0023461,"Leukemia, Mast-Cell"
C0220756,"Niemann-Pick Disease, Type C"
C1328252,Mucocutaneous leishmaniasis
C0275979,Infection by Campylobacter fetus
C0032064,Plague
C0421162,Meningococcus carrier
C0686510,Carcinoma in situ of adrenal cortex
C0042485,Venous Insufficiency
C0524688,Pneumonic Plague
C0152936,Septicemic Plague
C0412850,Opioid toxicity
C0231528,Myalgia
C0339170,Fungal conjunctivitis
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
C1292758,Precursor T-cell lymphoblastic lymphoma
C0694549,Community-Acquired Pneumonia
C1827266,Decompensated chronic heart failure
C0347176,Carcinoma in situ of fallopian tube
C0010418,Cryptosporidiosis
C0268490,"Tyrosinemia, Type I"
C0031190,Persistent Fetal Circulation Syndrome
C0149782,Squamous cell carcinoma of lung
C1278797,Postnatal infection
C0269050,Endomyometritis
C0155440,Chronic tubotympanic suppurative otitis media
C0343886,Gastrointestinal candidiasis
C0700359,Organophosphate poisoning
C0751964,"Multiple Sclerosis, Primary Progressive"
C0730274,Vitreomacular traction syndrome
C0024586,Malignant Carcinoid Syndrome
C0341823,Epithelial tumor of ovary
C1261473,Sarcoma
C1274355,Streptococcal infection of skin
C1720538,Persistent erythema of skin
C0178416,Hypoplastic anemia
C0342985,Superficial bacterial infection of skin
C0238122,Fallopian Tube Carcinoma
C0007112,Adenocarcinoma of prostate
C2316304,Human epidermal growth factor 2 negative carcinoma of breast
C0392190,Stomatitis radiation
C1274988,Drug-induced mucositis
C0036337,Schizoaffective Disorder
C0267963,Exocrine pancreatic insufficiency
C2887084,Sepsis caused by Streptococcus pneumoniae
C0268124,Adenosine deaminase deficiency
C0751434,Classical phenylketonuria
C1541061,Malignant neoplasm of common bile duct (& [carcinoma])
C0010691,Cystinuria
C0581358,Gastric spasm (disorder)
C0232849,Bladder pain
C0030758,Body louse infestation
C1318543,Fibrous histiocytoma of tendon sheath
C0221154,Paroxysmal hypertension
C3203356,Factor II deficiency
C0003615,Appendicitis
C0855112,Diffuse large B-cell lymphoma refractory
C0042345,Varicosity
C0546837,Malignant neoplasm of esophagus
C0024449,Mycetoma
C0001126,Renal tubular acidosis
C0233794,Memory impairment
C0029106,Opisthorchiasis
C0029077,"Ophthalmia, Sympathetic"
C1527336,Sjogren's Syndrome
C0002390,Extrinsic allergic alveolitis
C0032533,Polymyalgia Rheumatica
C1827301,Extensively Drug-Resistant Tuberculosis
C0700053,Idiopathic hypertrophic subaortic stenosis
C0040127,Thyroid Crisis
C0573789,Heparin overdose
C0268821,Lower urinary tract infectious disease
C0238452,Thallium poisoning
C0153303,Mixed intestinal infection caused by Cestoda and/or Trematoda and/or Phylum Nematoda
C0936215,Vitamin B 6 Deficiency
C1720498,Toxoplasmosis associated with acquired immunodeficiency syndrome
C4543165,Acute myeloid leukemia with FMS-like tyrosine kinase-3 mutation
C0393760,Initial insomnia
C0278701,Gastric Adenocarcinoma
C2239176,Liver carcinoma
C1720135,Gastrointestinal infection caused by Klebsiella aerogenes
C0341558,Intestinal infection caused by Escherichia coli
C0152515,Intestinal infection caused by Pseudomonas
C0343337,Pseudomonas gastrointestinal tract infection
C0175167,Acneiform Eruptions
C0042842,Vitamin A Deficiency
C1828079,Dementia associated with Parkinson's Disease
C0730607,Severe chronic obstructive pulmonary disease
C2981142,Myelodysplastic syndrome with low blasts (disorder)
C0027022,Myeloproliferative disease
C1283620,"Sucrase-isomaltase deficiency, congenital"
C0870082,Hyperkeratosis
C0042548,Plantar wart
C0234925,Greasy skin
C3661933,Dyslipidemia due to type 2 diabetes mellitus
C0152253,Posterior synechiae
C0043208,Wolman Disease
C0027831,Neurofibromatosis 1
C0013338,Pituitary dwarfism
C0016204,Flatulence
C0017531,Angiolymphoid hyperplasia
C0343730,Perianal warts
C0349649,Pulmonary lymphangioleiomyomatosis
C0242488,Acute Lung Injury
C0751362,Narcolepsy-Cataplexy Syndrome
C0035436,Rheumatic Fever
C0393764,Excessive daytime sleepiness - normal night sleep
C0151686,Growth retardation
C0007117,Basal cell carcinoma
C3163939,Malignant epithelial neoplasm of thyroid
C0020428,Hyperaldosteronism
C0020501,Primary Hyperoxaluria
C0030201,"Pain, Postoperative"
C0032024,Pityriasis
C0042998,Vulvovaginitis
C0008513,Chorioretinitis
C0037299,Skin Ulcer
C0040560,"Toxoplasmosis, Congenital"
C0028242,Nocardia Infections
C0272325,"Factor 8 deficiency, acquired"
C0400968,Liver transplant rejection
C4275067,Transthyretin related familial amyloid cardiomyopathy
C1301363,Blastic Plasmacytoid Dendritic Cell Neoplasm
C0750979,Primary malignant neoplasm of brain
C1134719,Error: 404
C0006325,Bruxism
C0393772,Non-24 hour sleep-wake cycle
C0276754,Onychomycosis caused by Trichophyton rubrum
C0205944,"Sarcoma, Epithelioid"
C0018671,Head and Neck Neoplasms
C0155264,Endocrine exophthalmos
C3854116,Lipodystrophy due to Human immunodeficiency virus infection and antiretroviral therapy
C0020635,Hypopituitarism
C0271623,Hypogonadotropic hypogonadism
C0948896,Primary hypogonadism
C0546999,"Larva Migrans, Cutaneous"
C0041648,Infection by Uncinaria
C0040553,Toxocariasis
C0349464,Wernicke-Korsakoff Syndrome
C0039841,Thiamine Deficiency
C0005684,Malignant neoplasm of urinary bladder
C0036130,Salpingitis
C0030785,Pelvic abscess
C0042875,Vitamin E Deficiency
C0153246,tinea manus
C0342257,Complications of Diabetes Mellitus
C0021141,Inappropriate ADH Syndrome
C0023269,leiomyosarcoma
C0002382,Alveolar Bone Loss
C0206504,Tympanic Membrane Perforation
C0162810,"Cicatrix, Hypertrophic"
C4721209,Metastatic human epidermal growth factor 2 positive carcinoma of breast
C0392445,Necrobiosis Lipoidica Diabeticorum
C1290159,Subacute bursitis
C0023646,Lichen Planus
C0276228,Herpes simplex keratoconjunctivitis
C0034063,Pulmonary Edema
C0349506,Photosensitivity of skin
C0042133,Uterine Fibroids
C0572583,Antimetabolite overdose
C0220987,Hereditary orotic aciduria
C0038157,Staphylococcal enterocolitis
C0271066,Choroidal retinal neovascularization
C1562543,Ocular histoplasmosis syndrome
C0085132,Mucopolysaccharidosis VII
C0023381,Letterer-Siwe Disease
C1274228,Chylomicronemia syndrome
C0563269,Acute infective exacerbation of chronic obstructive pulmonary disease
C0423673,Pain in spine
C0235950,Zinc deficiency
C0018916,Hemangioma
C0010414,Infection by Cryptococcus neoformans
C0001973,"Alcoholic Intoxication, Chronic"
C0028768,Obsessive-Compulsive Disorder
C0038436,Post-Traumatic Stress Disorder
C0024299,Lymphoma
